02,73827147484,1732102561,1732102810
02,76695488669,1730805559,1730805821
02,75801558397,1732823891,1732824190
01,77855971397,1732474665,1732474914
02,74781593676,1730588594,1730588759
02,73827147484,1731902033,1731902265
02,75801558397,1732664127,1732664345
01,71964320260,1731898012,1731898100
02,71359897778,1731054127,1731054235
01,76695488669,1732208752,1732208809
02,76881555274,1731111487,1731111601
02,76695488669,1732281598,1732281752
02,78778943941,1732999721,1732999931
02,77855971397,1731686750,1731686974
02,76881555274,1731764754,1731764860
01,79271743152,1730675797,1730675953
01,74781593676,1732785118,1732785256
