02,79271743152,1711630017,1711630317
01,72243483099,1709875407,1709875510
02,71359897778,1710812820,1710813078
01,75801558397,1709804139,1709804258
01,74781593676,1711276157,1711276274
02,76881555274,1710334790,1710335047
01,78778943941,1711527010,1711527210
01,77855971397,1710805222,1710805279
01,78069595351,1710326743,1710326807
01,76881555274,1710629589,1710629844
01,73827147484,1710125772,1710125879
01,74868892850,1710633436,1710633620
02,74904443513,1711232029,1711232124
02,78778943941,1710346549,1710346638
01,72397403335,1711362763,1711362916
02,73827147484,1709923956,1709924056
01,78069595351,1710562353,1710562519
02,78107776807,1711101555,1711101723
